Average ratings on churches,Average ratings on resorts,Average ratings on beaches,Average ratings on parks,Average ratings on theatres,Average ratings on museums,Average ratings on malls,Average ratings on zoo,Average ratings on restaurants,Average ratings on pubs/bars,Average ratings on local services,Average ratings on burger/pizza shops,Average ratings on hotels/other lodgings,Average ratings on juice bars,Average ratings on art galleries,Average ratings on dance clubs,Average ratings on swimming pools,Average ratings on gyms,Average ratings on bakeries,Average ratings on beauty & spas,Average ratings on cafes,Average ratings on view points,Average ratings on monuments,Average ratings on gardens
0.0,0.0,0.726,0.6762589928057554,1.0,0.4652956298200514,1.0,0.3599033816425121,0.358173076923077,0.4367541766109786,0.34,0.338,0.21985815602836878,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.726,0.6762589928057554,1.0,0.4652956298200514,1.0,0.42995169082125606,0.358173076923077,0.4391408114558474,0.34,0.338,0.21985815602836878,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.726,0.6714628297362111,1.0,0.4652956298200514,1.0,0.42995169082125606,0.358173076923077,0.4367541766109786,0.34,0.338,0.21985815602836878,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.726,0.6714628297362111,1.0,0.4652956298200514,1.0,0.3599033816425121,0.358173076923077,0.4367541766109786,0.34600000000000003,0.338,0.21985815602836878,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.726,0.6714628297362111,1.0,0.4652956298200514,1.0,0.42995169082125606,0.358173076923077,0.4367541766109786,0.34,0.338,0.21985815602836878,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.726,0.6714628297362111,1.0,0.4652956298200514,1.0,0.427536231884058,0.358173076923077,0.4391408114558474,0.342,0.338,0.21749408983451535,0.22641509433962262,0.34800000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.726,0.6714628297362111,1.0,0.4652956298200514,0.4922680412371133,0.3599033816425121,0.358173076923077,0.4367541766109786,0.34600000000000003,0.336,0.21749408983451535,0.22405660377358486,0.35000000000000003,0.118,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.726,0.6714628297362111,1.0,0.4652956298200514,1.0,0.427536231884058,0.358173076923077,0.4367541766109786,0.34,0.336,0.21749408983451535,0.22405660377358486,0.34800000000000003,0.12,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.7280000000000001,0.6738609112709832,1.0,0.4652956298200514,0.4922680412371133,0.4251207729468599,0.3557692307692307,0.4343675417661098,0.342,0.334,0.21513002364066192,0.22169811320754715,0.15000000000000002,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.7280000000000001,0.6738609112709832,1.0,0.4652956298200514,1.0,0.3599033816425121,0.3557692307692307,0.4343675417661098,0.338,0.334,0.21276595744680848,0.22169811320754715,0.148,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
